time,i1alpha,u1alpha,motorTorque,motorMechanicalAngularVelocity,|psi2|
0.0001,0,10.2167,0,0,7.91742e-05
0.0002,0.226652,20.4232,-0.000104541,-2.61353e-08,0.000315273
0.0003,0.676801,30.6097,-0.000622904,-1.81861e-07,0.000706147
0.0004,1.34711,40.7659,-0.00206171,-6.97288e-07,0.00124962
0.0005,2.23406,50.8819,-0.00511731,-1.97662e-06,0.00194351
0.0006,3.33396,60.9476,-0.010668,-4.64361e-06,0.00278558
0.0007,4.64293,70.9533,-0.0197659,-9.58508e-06,0.0037736
0.0008,6.15695,80.8889,-0.0336289,-1.79923e-05,0.00490532
0.0009,7.87181,90.7446,-0.0536325,-3.14004e-05,0.00617843
0.001,9.78315,100.511,-0.0813008,-5.17256e-05,0.00759066
0.0011,11.8864,110.178,-0.118298,-8.13002e-05,0.00913967
0.0012,14.177,119.736,-0.166422,-0.000122906,0.0108231
0.0013,16.6499,129.176,-0.22759,-0.000179803,0.0126387
0.0014,19.3004,138.489,-0.303836,-0.000255762,0.0145839
0.0015,22.1231,147.665,-0.397298,-0.000355086,0.0166565
0.0016,25.113,156.695,-0.51021,-0.000482639,0.018854
0.0017,28.2645,165.571,-0.644895,-0.000643863,0.021174
0.0018,31.5722,174.283,-0.803751,-0.0008448,0.023614
0.0019,35.0304,182.823,-0.989246,-0.00109211,0.0261717
0.002,38.6334,191.183,-1.20391,-0.00139309,0.0288445
0.0021,42.3753,199.354,-1.45032,-0.00175567,0.0316299
0.0022,46.2501,207.328,-1.7311,-0.00218845,0.0345255
0.0023,50.2518,215.098,-2.04891,-0.00270067,0.0375288
0.0024,54.3741,222.656,-2.40642,-0.00330228,0.0406372
0.0025,58.6108,229.993,-2.80633,-0.00400386,0.0438483
0.0026,62.9556,237.104,-3.25134,-0.00481669,0.0471594
0.0027,67.402,243.981,-3.74415,-0.00575273,0.0505682
0.0028,71.9435,250.617,-4.28745,-0.00682459,0.0540719
0.0029,76.5735,257.006,-4.88391,-0.00804557,0.057668
0.003,81.2855,263.141,-5.53618,-0.00942961,0.0613541
0.0031,86.0728,269.016,-6.24686,-0.0109913,0.0651274
0.0032,90.9285,274.626,-7.01854,-0.012746,0.0689855
0.0033,95.846,279.965,-7.85371,-0.0147094,0.0729258
0.0034,100.818,285.027,-8.75485,-0.0168981,0.0769456
0.0035,105.839,289.809,-9.72435,-0.0193292,0.0810424
0.0036,110.901,294.304,-10.7645,-0.0220203,0.0852136
0.0037,115.997,298.509,-11.8776,-0.0249897,0.0894565
0.0038,121.121,302.419,-13.0658,-0.0282562,0.0937687
0.0039,126.265,306.031,-14.3312,-0.031839,0.0981475
0.004,131.423,309.341,-15.6756,-0.0357579,0.10259
0.0041,136.588,312.345,-17.1011,-0.0400332,0.107094
0.0042,141.752,315.041,-18.6092,-0.0446855,0.111657
0.0043,146.91,317.427,-20.2017,-0.0497359,0.116277
0.0044,152.055,319.499,-21.8801,-0.0552059,0.12095
0.0045,157.179,321.255,-23.6458,-0.0611174,0.125674
0.0046,162.275,322.695,-25.5,-0.0674924,0.130446
0.0047,167.338,323.816,-27.4439,-0.0743533,0.135264
0.0048,172.361,324.618,-29.4784,-0.0817229,0.140126
0.0049,177.336,325.1,-31.6043,-0.089624,0.145028
0.005,182.258,325.26,-33.8224,-0.0980796,0.149968
0.0051,187.12,325.1,-36.1332,-0.107113,0.154945
0.0052,191.915,324.618,-38.5372,-0.116747,0.159954
0.0053,196.639,323.817,-41.0344,-0.127006,0.164993
0.0054,201.283,322.695,-43.6251,-0.137912,0.170061
0.0055,205.843,321.256,-46.309,-0.149489,0.175154
0.0056,210.311,319.499,-49.0861,-0.161761,0.180271
0.0057,214.684,317.427,-51.9558,-0.17475,0.185407
0.0058,218.954,315.041,-54.9176,-0.188479,0.190562
0.0059,223.115,312.345,-57.9707,-0.202972,0.195732
0.006,227.164,309.341,-61.1143,-0.21825,0.200915
0.0061,231.093,306.031,-64.3472,-0.234337,0.206109
0.0062,234.899,302.419,-67.6682,-0.251254,0.211311
0.0063,238.575,298.509,-71.076,-0.269023,0.216519
0.0064,242.117,294.304,-74.5689,-0.287666,0.22173
0.0065,245.52,289.809,-78.1452,-0.307202,0.226942
0.0066,248.779,285.028,-81.803,-0.327653,0.232153
0.0067,251.891,279.965,-85.5403,-0.349038,0.237359
0.0068,254.85,274.626,-89.3548,-0.371376,0.24256
0.0069,257.652,269.017,-93.2442,-0.394687,0.247753
0.007,260.294,263.141,-97.2059,-0.418989,0.252934
0.0071,262.771,257.006,-101.237,-0.444298,0.258103
0.0072,265.08,250.618,-105.335,-0.470632,0.263256
0.0073,267.218,243.982,-109.497,-0.498006,0.268392
0.00739999,269.181,237.105,-113.72,-0.526436,0.273508
0.00749999,270.966,229.994,-118,-0.555936,0.278602
0.00759999,272.57,222.656,-122.334,-0.58652,0.283672
0.00769999,273.991,215.099,-126.719,-0.6182,0.288716
0.00779999,275.226,207.329,-131.151,-0.650987,0.293731
0.00789999,276.272,199.355,-135.625,-0.684894,0.298716
0.00799999,277.128,191.184,-140.139,-0.719929,0.303668
0.00809999,277.792,182.824,-144.688,-0.756101,0.308586
0.00819999,278.262,174.284,-149.269,-0.793418,0.313467
0.00829999,278.536,165.572,-153.876,-0.831887,0.318309
0.00839999,278.614,156.696,-158.506,-0.871513,0.323111
0.00849999,278.493,147.666,-163.154,-0.912302,0.32787
0.00859999,278.174,138.49,-167.816,-0.954255,0.332584
0.00869999,277.656,129.177,-172.486,-0.997377,0.337252
0.00879999,276.937,119.737,-177.162,-1.04167,0.341872
0.00889999,276.019,110.179,-181.837,-1.08713,0.346441
0.00899999,274.9,100.512,-186.508,-1.13375,0.350958
0.00909999,273.581,90.7456,-191.169,-1.18155,0.355422
0.00919999,272.063,80.8899,-195.815,-1.2305,0.35983
0.00929999,270.345,70.9543,-200.442,-1.28061,0.364181
0.00939999,268.43,60.9487,-205.045,-1.33187,0.368472
0.00949999,266.317,50.883,-209.619,-1.38428,0.372703
0.00959999,264.008,40.767,-214.158,-1.43782,0.376872
0.00969999,261.505,30.6108,-218.659,-1.49248,0.380977
0.00979999,258.809,20.4244,-223.115,-1.54826,0.385016
0.00989999,255.922,10.2178,-227.522,-1.60514,0.388989
0.00999999,252.846,0.00118708,-231.875,-1.66311,0.392892
0.0101,249.582,-10.2155,-236.169,-1.72215,0.396726
0.0102,246.135,-20.422,-240.4,-1.78225,0.400488
0.0103,242.506,-30.6084,-244.561,-1.84339,0.404178
0.0104,238.697,-40.7646,-248.649,-1.90555,0.407793
0.0105,234.713,-50.8806,-252.659,-1.96872,0.411332
0.0106,230.556,-60.9464,-256.586,-2.03287,0.414795
0.0107,226.23,-70.952,-260.424,-2.09797,0.418179
0.0108,221.738,-80.8876,-264.171,-2.16401,0.421484
0.0109,217.083,-90.7433,-267.82,-2.23097,0.424708
0.011,212.271,-100.51,-271.368,-2.29881,0.42785
0.0111,207.304,-110.177,-274.809,-2.36751,0.430909
0.0112,202.187,-119.735,-278.141,-2.43705,0.433884
0.0113,196.924,-129.175,-281.358,-2.50739,0.436773
0.0114,191.521,-138.488,-284.456,-2.5785,0.439577
0.0115,185.981,-147.664,-287.432,-2.65036,0.442293
0.0116,180.309,-156.694,-290.282,-2.72293,0.444921
0.0117,174.511,-165.57,-293.001,-2.79618,0.447459
0.0118,168.591,-174.282,-295.586,-2.87008,0.449908
0.0119,162.555,-182.822,-298.034,-2.94459,0.452266
0.012,156.408,-191.182,-300.34,-3.01967,0.454531
0.0121,150.155,-199.353,-302.503,-3.0953,0.456704
0.0122,143.803,-207.327,-304.518,-3.17143,0.458784
0.0123,137.356,-215.097,-306.383,-3.24802,0.46077
0.0124,130.821,-222.655,-308.094,-3.32505,0.462661
0.0125,124.203,-229.992,-309.65,-3.40246,0.464456
