time,|psi2|,i1alpha,motorMechanicalAngularVelocity,psi2alpha,psi2beta
0.0001,0,0,0,0,0
0.0002,0.000157999,0,0,0,0.000157999
0.0003,0.000471858,0.226652,-2.61353e-08,4.96246e-06,0.000471832
0.0004,0.000939418,0.676801,-1.81861e-07,1.97794e-05,0.000939209
0.0005,0.00155849,1.34711,-6.97288e-07,4.92686e-05,0.00155771
0.0006,0.00232688,2.23406,-1.97662e-06,9.81693e-05,0.0023248
0.0007,0.00324234,3.33396,-4.64361e-06,0.000171139,0.00323782
0.0008,0.00430263,4.64293,-9.58508e-06,0.000272748,0.00429398
0.0009,0.00550548,6.15695,-1.79923e-05,0.00040748,0.00549038
0.001,0.00684859,7.87181,-3.14004e-05,0.000579722,0.00682401
0.0011,0.00832966,9.78315,-5.17256e-05,0.000793766,0.00829176
0.0012,0.00994636,11.8864,-8.13002e-05,0.0010538,0.00989038
0.0013,0.0116963,14.177,-0.000122906,0.00136392,0.0116165
0.0014,0.0135772,16.6499,-0.000179803,0.00172811,0.0134668
0.0015,0.0155866,19.3004,-0.000255762,0.00215022,0.0154376
0.0016,0.0177222,22.1231,-0.000355086,0.00263403,0.0175253
0.0017,0.0199814,25.113,-0.000482639,0.00318317,0.0197262
0.0018,0.0223619,28.2645,-0.000643863,0.00380117,0.0220365
0.0019,0.0248613,31.5722,-0.0008448,0.00449142,0.0244522
0.002,0.0274771,35.0304,-0.00109211,0.00525721,0.0269694
0.0021,0.0302067,38.6334,-0.00139309,0.00610169,0.029584
0.0022,0.0330478,42.3753,-0.00175567,0.00702787,0.0322919
0.0023,0.0359978,46.2501,-0.00218845,0.00803865,0.0350887
0.0024,0.0390542,50.2518,-0.00270067,0.00913678,0.0379704
0.0025,0.0422145,54.3741,-0.00330228,0.0103249,0.0409324
0.0026,0.0454762,58.6108,-0.00400386,0.0116054,0.0439704
0.0027,0.0488367,62.9556,-0.00481669,0.0129808,0.04708
0.0028,0.0522935,67.402,-0.00575273,0.0144531,0.0502565
0.0029,0.055844,71.9435,-0.00682459,0.0160245,0.0534955
0.003,0.0594857,76.5735,-0.00804557,0.0176969,0.0567924
0.0031,0.063216,81.2855,-0.00942961,0.019472,0.0601424
0.0032,0.0670324,86.0728,-0.0109913,0.0213515,0.0635409
