time,|psi2|,i1alpha,motorMechanicalAngularVelocity
0.0001,0,0,0
0.0002,0.000157997,0,0
0.0003,0.000471854,0.226652,-2.61353e-08
0.0004,0.000939409,0.676801,-1.81861e-07
0.0005,0.00155848,1.34711,-6.97288e-07
0.0006,0.00232685,2.23406,-1.97662e-06
0.0007,0.00324231,3.33396,-4.64361e-06
0.0008,0.00430259,4.64293,-9.58508e-06
0.0009,0.00550543,6.15695,-1.79923e-05
0.001,0.00684853,7.87181,-3.14004e-05
0.0011,0.00832959,9.78315,-5.17256e-05
0.0012,0.00994628,11.8864,-8.13002e-05
0.0013,0.0116962,14.177,-0.000122906
0.0014,0.0135771,16.6499,-0.000179803
0.0015,0.0155865,19.3004,-0.000255762
0.0016,0.017722,22.1231,-0.000355086
0.0017,0.0199813,25.113,-0.000482639
0.0018,0.0223618,28.2645,-0.000643863
0.0019,0.0248611,31.5722,-0.0008448
0.002,0.0274769,35.0304,-0.00109211
0.0021,0.0302065,38.6334,-0.00139309
0.0022,0.0330476,42.3753,-0.00175567
0.0023,0.0359976,46.2501,-0.00218845
0.0024,0.039054,50.2518,-0.00270067
0.0025,0.0422143,54.3741,-0.00330228
0.0026,0.045476,58.6108,-0.00400386
0.0027,0.0488365,62.9556,-0.00481669
0.0028,0.0522933,67.402,-0.00575273
0.0029,0.0558438,71.9435,-0.00682459
0.003,0.0594855,76.5735,-0.00804557
0.0031,0.0632158,81.2855,-0.00942961
0.0032,0.0670322,86.0728,-0.0109913
0.0033,0.070932,90.9285,-0.012746
0.0034,0.0749127,95.846,-0.0147094
0.0035,0.0789717,100.818,-0.0168981
0.0036,0.0831063,105.839,-0.0193292
0.0037,0.0873141,110.901,-0.0220203
0.0038,0.0915923,115.997,-0.0249897
0.0039,0.0959385,121.121,-0.0282562
0.004,0.10035,126.265,-0.031839
0.0041,0.104824,131.423,-0.0357579
0.0042,0.109359,136.588,-0.0400332
0.0043,0.11395,141.752,-0.0446855
0.0044,0.118597,146.91,-0.0497359
0.0045,0.123296,152.055,-0.0552059
