Model,RTH1004
SerialNumber,104117
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2023-04-12 15:03:40.529053885
Waveform Type,ANALOG
Acquisition Mode,SAMPLE
Horizontal Unit,s
Horizontal Scale,5e-08
Horizontal Position,2e-07
Reference Point,50 %
Sample Interval,4e-10
Record Length,1250
Probe Setting,'10:1'
Vertical Unit,V
Vertical Scale,2
Vertical Position,-1
Vertical Offset,0
History Index,0
History Time Stamp,0.000000000000
,
TIME,CH3
-5e-08,0.117647
-4.96e-08,0.117647
-4.92e-08,0.117647
-4.88e-08,0.117647
-4.84e-08,0.117647
-4.8e-08,0.117647
-4.76e-08,0.117647
-4.72e-08,0.117647
-4.68e-08,0.117647
-4.64e-08,0.117647
-4.6e-08,0.117647
-4.56e-08,0.117647
-4.52e-08,0.117647
-4.48e-08,0.117647
-4.44e-08,0.117647
-4.4e-08,0.117647
-4.36e-08,0.117647
-4.32e-08,0.117647
-4.28e-08,0.117647
-4.24e-08,0.117647
-4.2e-08,0.117647
-4.16e-08,0.117647
-4.12e-08,0.117647
-4.08e-08,0.117647
-4.04e-08,0.0862745
-4e-08,0.0862745
-3.96e-08,0.0862745
-3.92e-08,0.0862745
-3.88e-08,0.0862745
-3.84e-08,0.0862745
-3.8e-08,0.0862745
-3.76e-08,0.0862745
-3.72e-08,0.0862745
-3.68e-08,0.117647
-3.64e-08,0.117647
-3.6e-08,0.117647
-3.56e-08,0.117647
-3.52e-08,0.117647
-3.48e-08,0.117647
-3.44e-08,0.117647
-3.4e-08,0.117647
-3.36e-08,0.117647
-3.32e-08,0.0862745
-3.28e-08,0.0862745
-3.24e-08,0.0862745
-3.2e-08,0.0862745
-3.16e-08,0.0862745
-3.12e-08,0.0862745
-3.08e-08,0.0862745
-3.04e-08,0.0862745
-3e-08,0.0862745
-2.96e-08,0.0862745
-2.92e-08,0.0862745
-2.88e-08,0.0862745
-2.84e-08,0.0862745
-2.8e-08,0.0862745
-2.76e-08,0.0862745
-2.72e-08,0.0862745
-2.68e-08,0.0862745
-2.64e-08,0.0862745
-2.6e-08,0.0862745
-2.56e-08,0.0862745
-2.52e-08,0.0862745
-2.48e-08,0.0862745
-2.44e-08,0.0862745
-2.4e-08,0.0862745
-2.36e-08,0.0862745
-2.32e-08,0.0862745
-2.28e-08,0.0862745
-2.24e-08,0.0862745
-2.2e-08,0.0862745
-2.16e-08,0.0862745
-2.12e-08,0.0862745
-2.08e-08,0.0862745
-2.04e-08,0.0862745
-2e-08,0.117647
-1.96e-08,0.117647
-1.92e-08,0.117647
-1.88e-08,0.117647
-1.84e-08,0.117647
-1.8e-08,0.117647
-1.76e-08,0.117647
-1.72e-08,0.117647
-1.68e-08,0.117647
-1.64e-08,0.117647
-1.6e-08,0.117647
-1.56e-08,0.117647
-1.52e-08,0.117647
-1.48e-08,0.117647
-1.44e-08,0.117647
-1.4e-08,0.117647
-1.36e-08,0.117647
-1.32e-08,0.117647
-1.28e-08,0.117647
-1.24e-08,0.117647
-1.2e-08,0.117647
-1.16e-08,0.117647
-1.12e-08,0.117647
-1.08e-08,0.117647
-1.04e-08,0.117647
-1e-08,0.117647
-9.6e-09,0.117647
-9.2e-09,0.117647
-8.8e-09,0.117647
-8.4e-09,0.117647
-8e-09,0.117647
-7.6e-09,0.117647
-7.2e-09,0.117647
-6.8e-09,0.117647
-6.4e-09,0.117647
-6e-09,0.117647
-5.6e-09,0.117647
-5.2e-09,0.117647
-4.8e-09,0.117647
-4.4e-09,0.117647
-4e-09,0.14902
-3.6e-09,0.14902
-3.2e-09,0.180392
-2.8e-09,0.211765
-2.4e-09,0.27451
-2e-09,0.337255
-1.6e-09,0.431373
-1.2e-09,0.556863
-8e-10,0.65098
-4e-10,0.807843
0,0.996078
4e-10,1.18431
8e-10,1.37255
1.2e-09,1.59216
1.6e-09,1.81176
2e-09,2.03137
2.4e-09,2.25098
2.8e-09,2.43922
3.2e-09,2.65882
3.6e-09,2.84706
4e-09,3.03529
4.4e-09,3.19216
4.8e-09,3.38039
5.2e-09,3.50588
5.6e-09,3.63137
6e-09,3.75686
6.4e-09,3.88235
6.8e-09,3.97647
7.2e-09,4.07059
7.6e-09,4.13333
8e-09,4.19608
8.4e-09,4.25882
8.8e-09,4.2902
9.2e-09,4.32157
9.6e-09,4.35294
1e-08,4.35294
1.04e-08,4.38431
1.08e-08,4.38431
1.12e-08,4.35294
1.16e-08,4.35294
1.2e-08,4.32157
1.24e-08,4.2902
1.28e-08,4.25882
1.32e-08,4.19608
1.36e-08,4.13333
1.4e-08,4.07059
1.44e-08,4.00784
1.48e-08,3.91373
1.52e-08,3.81961
1.56e-08,3.72549
1.6e-08,3.66275
1.64e-08,3.56863
1.68e-08,3.47451
1.72e-08,3.41176
1.76e-08,3.31765
1.8e-08,3.2549
1.84e-08,3.22353
1.88e-08,3.16078
1.92e-08,3.12941
1.96e-08,3.12941
2e-08,3.12941
2.04e-08,3.09804
2.08e-08,3.09804
2.12e-08,3.12941
2.16e-08,3.12941
2.2e-08,3.12941
2.24e-08,3.16078
2.28e-08,3.19216
2.32e-08,3.22353
2.36e-08,3.22353
2.4e-08,3.2549
2.44e-08,3.28627
2.48e-08,3.31765
2.52e-08,3.34902
2.56e-08,3.38039
2.6e-08,3.38039
2.64e-08,3.41176
2.68e-08,3.44314
2.72e-08,3.47451
2.76e-08,3.50588
2.8e-08,3.50588
2.84e-08,3.53725
2.88e-08,3.56863
2.92e-08,3.56863
2.96e-08,3.6
3e-08,3.6
3.04e-08,3.6
3.08e-08,3.63137
3.12e-08,3.63137
3.16e-08,3.63137
3.2e-08,3.63137
3.24e-08,3.63137
3.28e-08,3.63137
3.32e-08,3.63137
3.36e-08,3.63137
3.4e-08,3.63137
3.44e-08,3.63137
3.48e-08,3.63137
3.52e-08,3.63137
3.56e-08,3.6
3.6e-08,3.6
3.64e-08,3.6
3.68e-08,3.56863
3.72e-08,3.56863
3.76e-08,3.56863
3.8e-08,3.56863
3.84e-08,3.56863
3.88e-08,3.53725
3.92e-08,3.53725
3.96e-08,3.53725
4e-08,3.53725
4.04e-08,3.53725
4.08e-08,3.53725
4.12e-08,3.53725
4.16e-08,3.53725
4.2e-08,3.50588
4.24e-08,3.50588
4.28e-08,3.50588
4.32e-08,3.50588
4.36e-08,3.50588
4.4e-08,3.50588
4.44e-08,3.50588
4.48e-08,3.50588
4.52e-08,3.50588
4.56e-08,3.50588
4.6e-08,3.47451
4.64e-08,3.47451
4.68e-08,3.44314
4.72e-08,3.41176
4.76e-08,3.34902
4.8e-08,3.28627
4.84e-08,3.16078
4.88e-08,3.06667
4.92e-08,2.9098
4.96e-08,2.75294
5e-08,2.56471
5.04e-08,2.37647
5.08e-08,2.15686
5.12e-08,1.93725
5.16e-08,1.68627
5.2e-08,1.46667
5.24e-08,1.24706
5.28e-08,1.02745
5.32e-08,0.807843
5.36e-08,0.619608
5.4e-08,0.431373
5.44e-08,0.243137
5.48e-08,0.0862745
5.52e-08,-0.0705882
5.56e-08,-0.227451
5.6e-08,-0.352941
5.64e-08,-0.447059
5.68e-08,-0.541176
5.72e-08,-0.635294
5.76e-08,-0.698039
5.8e-08,-0.760784
5.84e-08,-0.823529
5.88e-08,-0.854902
5.92e-08,-0.886275
5.96e-08,-0.886275
6e-08,-0.886275
6.04e-08,-0.886275
6.08e-08,-0.886275
6.12e-08,-0.854902
6.16e-08,-0.823529
6.2e-08,-0.792157
6.24e-08,-0.760784
6.28e-08,-0.698039
6.32e-08,-0.635294
6.36e-08,-0.572549
6.4e-08,-0.509804
6.44e-08,-0.415686
6.48e-08,-0.321569
6.52e-08,-0.227451
6.56e-08,-0.133333
6.6e-08,-0.0392157
6.64e-08,0.0862745
6.68e-08,0.14902
6.72e-08,0.243137
6.76e-08,0.337255
6.8e-08,0.4
6.84e-08,0.431373
6.88e-08,0.494118
6.92e-08,0.52549
6.96e-08,0.52549
7e-08,0.52549
7.04e-08,0.556863
7.08e-08,0.52549
7.12e-08,0.52549
7.16e-08,0.494118
7.2e-08,0.494118
7.24e-08,0.462745
7.28e-08,0.431373
7.32e-08,0.4
7.36e-08,0.368627
7.4e-08,0.337255
7.44e-08,0.337255
7.48e-08,0.305882
7.52e-08,0.27451
7.56e-08,0.243137
7.6e-08,0.211765
7.64e-08,0.180392
7.68e-08,0.14902
7.72e-08,0.117647
7.76e-08,0.0862745
7.8e-08,0.054902
7.84e-08,0.054902
7.88e-08,0.0235294
7.92e-08,-0.00784314
7.96e-08,-0.00784314
8e-08,-0.0392157
8.04e-08,-0.0392157
8.08e-08,-0.0705882
8.12e-08,-0.0705882
8.16e-08,-0.101961
8.2e-08,-0.101961
8.24e-08,-0.133333
8.28e-08,-0.133333
8.32e-08,-0.133333
8.36e-08,-0.133333
8.4e-08,-0.133333
8.44e-08,-0.133333
8.48e-08,-0.133333
8.52e-08,-0.133333
8.56e-08,-0.101961
8.6e-08,-0.101961
8.64e-08,-0.0705882
8.68e-08,-0.0705882
8.72e-08,-0.0392157
8.76e-08,-0.0392157
8.8e-08,-0.00784314
8.84e-08,-0.00784314
8.88e-08,0.0235294
8.92e-08,0.0235294
8.96e-08,0.054902
9e-08,0.054902
9.04e-08,0.054902
9.08e-08,0.054902
9.12e-08,0.0862745
9.16e-08,0.0862745
9.2e-08,0.0862745
9.24e-08,0.117647
9.28e-08,0.117647
9.32e-08,0.117647
9.36e-08,0.117647
9.4e-08,0.117647
9.44e-08,0.117647
9.48e-08,0.117647
9.52e-08,0.117647
9.56e-08,0.14902
9.6e-08,0.14902
9.64e-08,0.180392
9.68e-08,0.180392
9.72e-08,0.243137
9.76e-08,0.305882
9.8e-08,0.368627
9.84e-08,0.462745
9.88e-08,0.588235
9.92e-08,0.713725
9.96e-08,0.870588
1e-07,1.05882
1.004e-07,1.24706
1.008e-07,1.43529
1.012e-07,1.6549
1.016e-07,1.87451
1.02e-07,2.09412
1.024e-07,2.31373
1.028e-07,2.53333
1.032e-07,2.72157
1.036e-07,2.9098
1.04e-07,3.12941
1.044e-07,3.28627
1.048e-07,3.44314
1.052e-07,3.6
1.056e-07,3.75686
1.06e-07,3.88235
1.064e-07,4.00784
1.068e-07,4.10196
1.072e-07,4.19608
1.076e-07,4.25882
1.08e-07,4.32157
1.084e-07,4.35294
1.088e-07,4.41569
1.092e-07,4.44706
1.096e-07,4.47843
1.1e-07,4.47843
1.104e-07,4.47843
1.108e-07,4.47843
1.112e-07,4.47843
1.116e-07,4.44706
1.12e-07,4.41569
1.124e-07,4.35294
1.128e-07,4.32157
1.132e-07,4.25882
1.136e-07,4.19608
1.14e-07,4.10196
1.144e-07,4.00784
1.148e-07,3.91373
1.152e-07,3.81961
1.156e-07,3.72549
1.16e-07,3.63137
1.164e-07,3.53725
1.168e-07,3.44314
1.172e-07,3.38039
1.176e-07,3.28627
1.18e-07,3.22353
1.184e-07,3.19216
1.188e-07,3.12941
1.192e-07,3.09804
1.196e-07,3.06667
1.2e-07,3.06667
1.204e-07,3.06667
1.208e-07,3.03529
1.212e-07,3.06667
1.216e-07,3.06667
1.22e-07,3.06667
1.224e-07,3.09804
1.228e-07,3.09804
1.232e-07,3.12941
1.236e-07,3.16078
1.24e-07,3.19216
1.244e-07,3.22353
1.248e-07,3.2549
1.252e-07,3.28627
1.256e-07,3.34902
1.26e-07,3.34902
1.264e-07,3.38039
1.268e-07,3.41176
1.272e-07,3.44314
1.276e-07,3.47451
1.28e-07,3.50588
1.284e-07,3.50588
1.288e-07,3.53725
1.292e-07,3.56863
1.296e-07,3.56863
1.3e-07,3.6
1.304e-07,3.6
1.308e-07,3.6
1.312e-07,3.63137
1.316e-07,3.63137
1.32e-07,3.66275
1.324e-07,3.66275
1.328e-07,3.66275
1.332e-07,3.66275
1.336e-07,3.66275
1.34e-07,3.66275
1.344e-07,3.66275
1.348e-07,3.66275
1.352e-07,3.63137
1.356e-07,3.63137
1.36e-07,3.63137
1.364e-07,3.6
1.368e-07,3.6
1.372e-07,3.6
1.376e-07,3.6
1.38e-07,3.56863
1.384e-07,3.56863
1.388e-07,3.53725
1.392e-07,3.53725
1.396e-07,3.53725
1.4e-07,3.50588
1.404e-07,3.50588
1.408e-07,3.50588
1.412e-07,3.50588
1.416e-07,3.47451
1.42e-07,3.47451
1.424e-07,3.47451
1.428e-07,3.44314
1.432e-07,3.44314
1.436e-07,3.44314
1.44e-07,3.44314
1.444e-07,3.44314
1.448e-07,3.41176
1.452e-07,3.41176
1.456e-07,3.41176
1.46e-07,3.38039
1.464e-07,3.38039
1.468e-07,3.34902
1.472e-07,3.28627
1.476e-07,3.22353
1.48e-07,3.16078
1.484e-07,3.06667
1.488e-07,2.97255
1.492e-07,2.81569
1.496e-07,2.65882
1.5e-07,2.47059
1.504e-07,2.28235
1.508e-07,2.09412
1.512e-07,1.87451
1.516e-07,1.6549
1.52e-07,1.43529
1.524e-07,1.21569
1.528e-07,0.996078
1.532e-07,0.807843
1.536e-07,0.588235
1.54e-07,0.431373
1.544e-07,0.243137
1.548e-07,0.0862745
1.552e-07,-0.0705882
1.556e-07,-0.196078
1.56e-07,-0.321569
1.564e-07,-0.415686
1.568e-07,-0.509804
1.572e-07,-0.603922
1.576e-07,-0.666667
1.58e-07,-0.729412
1.584e-07,-0.792157
1.588e-07,-0.823529
1.592e-07,-0.854902
1.596e-07,-0.854902
1.6e-07,-0.886275
1.604e-07,-0.854902
1.608e-07,-0.854902
1.612e-07,-0.854902
1.616e-07,-0.823529
1.62e-07,-0.792157
1.624e-07,-0.729412
1.628e-07,-0.698039
1.632e-07,-0.635294
1.636e-07,-0.541176
1.64e-07,-0.478431
1.644e-07,-0.384314
1.648e-07,-0.290196
1.652e-07,-0.196078
1.656e-07,-0.0705882
1.66e-07,0.0235294
1.664e-07,0.117647
1.668e-07,0.211765
1.672e-07,0.305882
1.676e-07,0.368627
1.68e-07,0.462745
1.684e-07,0.494118
1.688e-07,0.556863
1.692e-07,0.588235
1.696e-07,0.619608
1.7e-07,0.619608
1.704e-07,0.619608
1.708e-07,0.619608
1.712e-07,0.588235
1.716e-07,0.556863
1.72e-07,0.556863
1.724e-07,0.52549
1.728e-07,0.494118
1.732e-07,0.431373
1.736e-07,0.4
1.74e-07,0.368627
1.744e-07,0.337255
1.748e-07,0.305882
1.752e-07,0.27451
1.756e-07,0.211765
1.76e-07,0.180392
1.764e-07,0.14902
1.768e-07,0.117647
1.772e-07,0.0862745
1.776e-07,0.0862745
1.78e-07,0.054902
1.784e-07,0.0235294
1.788e-07,0.0235294
1.792e-07,-0.00784314
1.796e-07,-0.00784314
1.8e-07,-0.0392157
1.804e-07,-0.0392157
1.808e-07,-0.0392157
1.812e-07,-0.0705882
1.816e-07,-0.0705882
1.82e-07,-0.0705882
1.824e-07,-0.0705882
1.828e-07,-0.0705882
1.832e-07,-0.0705882
1.836e-07,-0.101961
1.84e-07,-0.101961
1.844e-07,-0.101961
1.848e-07,-0.0705882
1.852e-07,-0.0705882
1.856e-07,-0.0705882
1.86e-07,-0.0705882
1.864e-07,-0.0392157
1.868e-07,-0.0392157
1.872e-07,-0.0392157
1.876e-07,-0.00784314
1.88e-07,-0.00784314
1.884e-07,-0.00784314
1.888e-07,0.0235294
1.892e-07,0.0235294
1.896e-07,0.0235294
1.9e-07,0.0235294
1.904e-07,0.054902
1.908e-07,0.054902
1.912e-07,0.054902
1.916e-07,0.054902
1.92e-07,0.0862745
1.924e-07,0.0862745
1.928e-07,0.0862745
1.932e-07,0.117647
1.936e-07,0.117647
1.94e-07,0.117647
1.944e-07,0.14902
1.948e-07,0.14902
1.952e-07,0.14902
1.956e-07,0.180392
1.96e-07,0.180392
1.964e-07,0.180392
1.968e-07,0.211765
1.972e-07,0.27451
1.976e-07,0.305882
1.98e-07,0.4
1.984e-07,0.462745
1.988e-07,0.588235
1.992e-07,0.713725
1.996e-07,0.870588
2e-07,1.02745
2.004e-07,1.24706
2.008e-07,1.43529
2.012e-07,1.6549
2.016e-07,1.84314
2.02e-07,2.06275
2.024e-07,2.28235
2.028e-07,2.50196
2.032e-07,2.6902
2.036e-07,2.87843
2.04e-07,3.06667
2.044e-07,3.2549
2.048e-07,3.41176
2.052e-07,3.56863
2.056e-07,3.72549
2.06e-07,3.81961
2.064e-07,3.9451
2.068e-07,4.07059
2.072e-07,4.16471
2.076e-07,4.22745
2.08e-07,4.32157
2.084e-07,4.35294
2.088e-07,4.41569
2.092e-07,4.41569
2.096e-07,4.44706
2.1e-07,4.44706
2.104e-07,4.44706
2.108e-07,4.44706
2.112e-07,4.41569
2.116e-07,4.38431
2.12e-07,4.35294
2.124e-07,4.32157
2.128e-07,4.25882
2.132e-07,4.19608
2.136e-07,4.13333
2.14e-07,4.03922
2.144e-07,3.97647
2.148e-07,3.88235
2.152e-07,3.78824
2.156e-07,3.69412
2.16e-07,3.6
2.164e-07,3.50588
2.168e-07,3.41176
2.172e-07,3.31765
2.176e-07,3.2549
2.18e-07,3.19216
2.184e-07,3.12941
2.188e-07,3.09804
2.192e-07,3.06667
2.196e-07,3.06667
2.2e-07,3.03529
2.204e-07,3.06667
2.208e-07,3.06667
2.212e-07,3.06667
2.216e-07,3.09804
2.22e-07,3.09804
2.224e-07,3.12941
2.228e-07,3.16078
2.232e-07,3.19216
2.236e-07,3.22353
2.24e-07,3.2549
2.244e-07,3.28627
2.248e-07,3.31765
2.252e-07,3.34902
2.256e-07,3.38039
2.26e-07,3.41176
2.264e-07,3.44314
2.268e-07,3.47451
2.272e-07,3.50588
2.276e-07,3.50588
2.28e-07,3.53725
2.284e-07,3.56863
2.288e-07,3.56863
2.292e-07,3.6
2.296e-07,3.6
2.3e-07,3.6
2.304e-07,3.63137
2.308e-07,3.63137
2.312e-07,3.63137
2.316e-07,3.66275
2.32e-07,3.66275
2.324e-07,3.66275
2.328e-07,3.66275
2.332e-07,3.66275
2.336e-07,3.66275
2.34e-07,3.66275
2.344e-07,3.66275
2.348e-07,3.66275
2.352e-07,3.63137
2.356e-07,3.63137
2.36e-07,3.63137
2.364e-07,3.6
2.368e-07,3.6
2.372e-07,3.6
2.376e-07,3.56863
2.38e-07,3.56863
2.384e-07,3.53725
2.388e-07,3.53725
2.392e-07,3.53725
2.396e-07,3.53725
2.4e-07,3.50588
2.404e-07,3.50588
2.408e-07,3.50588
2.412e-07,3.50588
2.416e-07,3.47451
2.42e-07,3.47451
2.424e-07,3.47451
2.428e-07,3.44314
2.432e-07,3.44314
2.436e-07,3.44314
2.44e-07,3.44314
2.444e-07,3.44314
2.448e-07,3.44314
2.452e-07,3.41176
2.456e-07,3.41176
2.46e-07,3.41176
2.464e-07,3.38039
2.468e-07,3.34902
2.472e-07,3.31765
2.476e-07,3.2549
2.48e-07,3.19216
2.484e-07,3.06667
2.488e-07,2.97255
2.492e-07,2.81569
2.496e-07,2.65882
2.5e-07,2.47059
2.504e-07,2.28235
2.508e-07,2.06275
2.512e-07,1.84314
2.516e-07,1.62353
2.52e-07,1.40392
2.524e-07,1.18431
2.528e-07,0.964706
2.532e-07,0.776471
2.536e-07,0.556863
2.54e-07,0.368627
2.544e-07,0.211765
2.548e-07,0.054902
2.552e-07,-0.101961
2.556e-07,-0.258824
2.56e-07,-0.384314
2.564e-07,-0.478431
2.568e-07,-0.603922
2.572e-07,-0.666667
2.576e-07,-0.760784
2.58e-07,-0.823529
2.584e-07,-0.886275
2.588e-07,-0.917647
2.592e-07,-0.917647
2.596e-07,-0.94902
2.6e-07,-0.94902
2.604e-07,-0.917647
2.608e-07,-0.886275
2.612e-07,-0.854902
2.616e-07,-0.792157
2.62e-07,-0.729412
2.624e-07,-0.666667
2.628e-07,-0.572549
2.632e-07,-0.509804
2.636e-07,-0.384314
2.64e-07,-0.290196
2.644e-07,-0.196078
2.648e-07,-0.0705882
2.652e-07,0.054902
2.656e-07,0.14902
2.66e-07,0.27451
2.664e-07,0.4
2.668e-07,0.494118
2.672e-07,0.588235
2.676e-07,0.682353
2.68e-07,0.745098
2.684e-07,0.807843
2.688e-07,0.870588
2.692e-07,0.901961
2.696e-07,0.901961
2.7e-07,0.901961
2.704e-07,0.901961
2.708e-07,0.870588
2.712e-07,0.807843
2.716e-07,0.776471
2.72e-07,0.713725
2.724e-07,0.65098
2.728e-07,0.556863
2.732e-07,0.494118
2.736e-07,0.4
2.74e-07,0.337255
2.744e-07,0.27451
2.748e-07,0.180392
2.752e-07,0.117647
2.756e-07,0.054902
2.76e-07,0.0235294
2.764e-07,-0.0392157
2.768e-07,-0.0705882
2.772e-07,-0.101961
2.776e-07,-0.133333
2.78e-07,-0.164706
2.784e-07,-0.164706
2.788e-07,-0.196078
2.792e-07,-0.196078
2.796e-07,-0.196078
2.8e-07,-0.227451
2.804e-07,-0.227451
2.808e-07,-0.227451
2.812e-07,-0.227451
2.816e-07,-0.227451
2.82e-07,-0.227451
2.824e-07,-0.227451
2.828e-07,-0.196078
2.832e-07,-0.196078
2.836e-07,-0.196078
2.84e-07,-0.164706
2.844e-07,-0.164706
2.848e-07,-0.133333
2.852e-07,-0.133333
2.856e-07,-0.101961
2.86e-07,-0.0705882
2.864e-07,-0.0705882
2.868e-07,-0.0392157
2.872e-07,-0.00784314
2.876e-07,-0.00784314
2.88e-07,0.0235294
2.884e-07,0.0235294
2.888e-07,0.054902
2.892e-07,0.0862745
2.896e-07,0.117647
2.9e-07,0.117647
2.904e-07,0.14902
2.908e-07,0.14902
2.912e-07,0.180392
2.916e-07,0.211765
2.92e-07,0.211765
2.924e-07,0.211765
2.928e-07,0.243137
2.932e-07,0.243137
2.936e-07,0.243137
2.94e-07,0.243137
2.944e-07,0.243137
2.948e-07,0.211765
2.952e-07,0.211765
2.956e-07,0.211765
2.96e-07,0.180392
2.964e-07,0.211765
2.968e-07,0.211765
2.972e-07,0.243137
2.976e-07,0.27451
2.98e-07,0.337255
2.984e-07,0.4
2.988e-07,0.52549
2.992e-07,0.65098
2.996e-07,0.807843
3e-07,0.964706
3.004e-07,1.15294
3.008e-07,1.34118
3.012e-07,1.56078
3.016e-07,1.78039
3.02e-07,2
3.024e-07,2.18824
3.028e-07,2.40784
3.032e-07,2.62745
3.036e-07,2.81569
3.04e-07,3.00392
3.044e-07,3.16078
3.048e-07,3.34902
3.052e-07,3.47451
3.056e-07,3.63137
3.06e-07,3.75686
3.064e-07,3.88235
3.068e-07,3.97647
3.072e-07,4.07059
3.076e-07,4.16471
3.08e-07,4.22745
3.084e-07,4.2902
3.088e-07,4.32157
3.092e-07,4.35294
3.096e-07,4.38431
3.1e-07,4.41569
3.104e-07,4.41569
3.108e-07,4.41569
3.112e-07,4.41569
3.116e-07,4.38431
3.12e-07,4.35294
3.124e-07,4.32157
3.128e-07,4.25882
3.132e-07,4.19608
3.136e-07,4.13333
3.14e-07,4.07059
3.144e-07,4.00784
3.148e-07,3.91373
3.152e-07,3.81961
3.156e-07,3.72549
3.16e-07,3.63137
3.164e-07,3.53725
3.168e-07,3.44314
3.172e-07,3.38039
