Model,RTH1004
SerialNumber,104117
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2023-04-12 15:05:01.141602729,2023-04-12 15:05:01.141602729
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,5e-08,
Horizontal Position,2e-07,
Reference Point,50 %,
Sample Interval,4e-10,
Record Length,1250,
Probe Setting,'10:1','10:1'
Vertical Unit,V,V
Vertical Scale,2,2
Vertical Position,-3,1
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH3
-5e-08,-0.0862745,0.227451
-4.96e-08,-0.0862745,0.227451
-4.92e-08,-0.0862745,0.227451
-4.88e-08,-0.0862745,0.196078
-4.84e-08,-0.0862745,0.196078
-4.8e-08,-0.0862745,0.196078
-4.76e-08,-0.0862745,0.196078
-4.72e-08,-0.0862745,0.196078
-4.68e-08,-0.0862745,0.196078
-4.64e-08,-0.0862745,0.196078
-4.6e-08,-0.054902,0.196078
-4.56e-08,-0.054902,0.164706
-4.52e-08,-0.054902,0.164706
-4.48e-08,-0.0862745,0.164706
-4.44e-08,-0.0862745,0.164706
-4.4e-08,-0.0862745,0.164706
-4.36e-08,-0.0862745,0.164706
-4.32e-08,-0.0862745,0.164706
-4.28e-08,-0.0862745,0.164706
-4.24e-08,-0.0862745,0.164706
-4.2e-08,-0.0862745,0.164706
-4.16e-08,-0.0862745,0.164706
-4.12e-08,-0.054902,0.164706
-4.08e-08,-0.054902,0.164706
-4.04e-08,-0.054902,0.164706
-4e-08,-0.054902,0.164706
-3.96e-08,-0.054902,0.196078
-3.92e-08,-0.054902,0.196078
-3.88e-08,-0.054902,0.196078
-3.84e-08,-0.054902,0.196078
-3.8e-08,-0.054902,0.196078
-3.76e-08,-0.054902,0.196078
-3.72e-08,-0.054902,0.196078
-3.68e-08,-0.054902,0.196078
-3.64e-08,-0.054902,0.196078
-3.6e-08,-0.054902,0.196078
-3.56e-08,-0.054902,0.196078
-3.52e-08,-0.054902,0.196078
-3.48e-08,-0.054902,0.196078
-3.44e-08,-0.054902,0.196078
-3.4e-08,-0.054902,0.164706
-3.36e-08,-0.054902,0.164706
-3.32e-08,-0.054902,0.164706
-3.28e-08,-0.054902,0.164706
-3.24e-08,-0.054902,0.164706
-3.2e-08,-0.054902,0.164706
-3.16e-08,-0.054902,0.164706
-3.12e-08,-0.054902,0.164706
-3.08e-08,-0.054902,0.164706
-3.04e-08,-0.0862745,0.164706
-3e-08,-0.0862745,0.164706
-2.96e-08,-0.0862745,0.164706
-2.92e-08,-0.0862745,0.164706
-2.88e-08,-0.0862745,0.164706
-2.84e-08,-0.0862745,0.164706
-2.8e-08,-0.0862745,0.164706
-2.76e-08,-0.0862745,0.164706
-2.72e-08,-0.0862745,0.164706
-2.68e-08,-0.0862745,0.164706
-2.64e-08,-0.0862745,0.164706
-2.6e-08,-0.0862745,0.164706
-2.56e-08,-0.0862745,0.164706
-2.52e-08,-0.0862745,0.164706
-2.48e-08,-0.0862745,0.133333
-2.44e-08,-0.0862745,0.133333
-2.4e-08,-0.0862745,0.133333
-2.36e-08,-0.0862745,0.133333
-2.32e-08,-0.0862745,0.133333
-2.28e-08,-0.0862745,0.133333
-2.24e-08,-0.0862745,0.133333
-2.2e-08,-0.0862745,0.133333
-2.16e-08,-0.0862745,0.133333
-2.12e-08,-0.0862745,0.133333
-2.08e-08,-0.0862745,0.133333
-2.04e-08,-0.0862745,0.133333
-2e-08,-0.0862745,0.164706
-1.96e-08,-0.0862745,0.164706
-1.92e-08,-0.0862745,0.164706
-1.88e-08,-0.0862745,0.164706
-1.84e-08,-0.117647,0.164706
-1.8e-08,-0.117647,0.164706
-1.76e-08,-0.117647,0.164706
-1.72e-08,-0.0862745,0.196078
-1.68e-08,-0.0862745,0.196078
-1.64e-08,-0.0862745,0.196078
-1.6e-08,-0.0862745,0.196078
-1.56e-08,-0.0862745,0.196078
-1.52e-08,-0.0862745,0.196078
-1.48e-08,-0.0862745,0.196078
-1.44e-08,-0.0862745,0.164706
-1.4e-08,-0.054902,0.164706
-1.36e-08,-0.0862745,0.164706
-1.32e-08,-0.0862745,0.164706
-1.28e-08,-0.0862745,0.164706
-1.24e-08,-0.0862745,0.164706
-1.2e-08,-0.0862745,0.164706
-1.16e-08,-0.0862745,0.164706
-1.12e-08,-0.0862745,0.164706
-1.08e-08,-0.0862745,0.164706
-1.04e-08,-0.0862745,0.164706
-1e-08,-0.0862745,0.164706
-9.6e-09,-0.0862745,0.164706
-9.2e-09,-0.0862745,0.164706
-8.8e-09,-0.0862745,0.164706
-8.4e-09,-0.054902,0.164706
-8e-09,-0.054902,0.164706
-7.6e-09,-0.054902,0.164706
-7.2e-09,-0.054902,0.196078
-6.8e-09,-0.054902,0.196078
-6.4e-09,-0.054902,0.196078
-6e-09,-0.054902,0.196078
-5.6e-09,-0.0862745,0.196078
-5.2e-09,-0.0862745,0.196078
-4.8e-09,-0.0862745,0.196078
-4.4e-09,-0.0862745,0.196078
-4e-09,-0.0862745,0.196078
-3.6e-09,-0.0862745,0.196078
-3.2e-09,-0.0862745,0.227451
-2.8e-09,-0.0862745,0.258824
-2.4e-09,-0.0862745,0.290196
-2e-09,-0.117647,0.321569
-1.6e-09,-0.117647,0.415686
-1.2e-09,-0.117647,0.478431
-8e-10,-0.14902,0.603922
-4e-10,-0.14902,0.729412
0,-0.180392,0.886275
4e-10,-0.180392,1.04314
8e-10,-0.211765,1.23137
1.2e-09,-0.211765,1.41961
1.6e-09,-0.243137,1.63922
2e-09,-0.243137,1.85882
2.4e-09,-0.243137,2.04706
2.8e-09,-0.243137,2.26667
3.2e-09,-0.243137,2.4549
3.6e-09,-0.243137,2.64314
4e-09,-0.243137,2.83137
4.4e-09,-0.243137,3.01961
4.8e-09,-0.211765,3.17647
5.2e-09,-0.211765,3.36471
5.6e-09,-0.211765,3.4902
6e-09,-0.180392,3.64706
6.4e-09,-0.180392,3.77255
6.8e-09,-0.180392,3.89804
7.2e-09,-0.180392,3.99216
7.6e-09,-0.180392,4.08627
8e-09,-0.14902,4.18039
8.4e-09,-0.14902,4.24314
8.8e-09,-0.14902,4.30588
9.2e-09,-0.117647,4.33725
9.6e-09,-0.117647,4.36863
1e-08,-0.0862745,4.4
1.04e-08,-0.0862745,4.4
1.08e-08,-0.054902,4.43137
1.12e-08,-0.0235294,4.43137
1.16e-08,0.00784314,4.4
1.2e-08,0.00784314,4.4
1.24e-08,0.0392157,4.36863
1.28e-08,0.0392157,4.33725
1.32e-08,0.0705882,4.27451
1.36e-08,0.0705882,4.24314
1.4e-08,0.101961,4.18039
1.44e-08,0.101961,4.11765
1.48e-08,0.101961,4.0549
1.52e-08,0.101961,3.96078
1.56e-08,0.133333,3.89804
1.6e-08,0.133333,3.80392
1.64e-08,0.133333,3.7098
1.68e-08,0.133333,3.61569
1.72e-08,0.164706,3.55294
1.76e-08,0.164706,3.45882
1.8e-08,0.196078,3.39608
1.84e-08,0.196078,3.33333
1.88e-08,0.196078,3.27059
1.92e-08,0.164706,3.23922
1.96e-08,0.164706,3.20784
2e-08,0.164706,3.17647
2.04e-08,0.133333,3.1451
2.08e-08,0.133333,3.1451
2.12e-08,0.101961,3.1451
2.16e-08,0.0705882,3.1451
2.2e-08,0.0392157,3.1451
2.24e-08,0.00784314,3.17647
2.28e-08,-0.0235294,3.17647
2.32e-08,-0.054902,3.20784
2.36e-08,-0.054902,3.23922
2.4e-08,-0.0862745,3.23922
2.44e-08,-0.117647,3.27059
2.48e-08,-0.14902,3.30196
2.52e-08,-0.14902,3.33333
2.56e-08,-0.180392,3.36471
