Model,RTH1004
SerialNumber,104117
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2023-04-12 14:48:23.18615961,2023-04-12 14:48:23.18615961
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,5e-07,
Horizontal Position,2e-06,
Reference Point,50 %,
Sample Interval,4e-09,
Record Length,1250,
Probe Setting,'10:1','10:1'
Vertical Unit,V,V
Vertical Scale,2,2
Vertical Position,-2,1
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH3
-5e-07,-0.0784314,0.164706
-4.96e-07,-0.0784314,0.133333
-4.92e-07,-0.0470588,0.164706
-4.88e-07,-0.0470588,0.196078
-4.84e-07,-0.0156863,0.164706
-4.8e-07,-0.0470588,0.164706
-4.76e-07,-0.0156863,0.164706
-4.72e-07,-0.0470588,0.164706
-4.68e-07,-0.0470588,0.164706
-4.64e-07,-0.0156863,0.164706
-4.6e-07,-0.0470588,0.164706
-4.56e-07,-0.0470588,0.164706
-4.52e-07,-0.0156863,0.133333
-4.48e-07,-0.0470588,0.196078
-4.44e-07,-0.0784314,0.164706
-4.4e-07,-0.0470588,0.133333
-4.36e-07,-0.0156863,0.164706
-4.32e-07,-0.0470588,0.164706
-4.28e-07,-0.0470588,0.164706
-4.24e-07,-0.0470588,0.196078
-4.2e-07,-0.0470588,0.164706
-4.16e-07,-0.0470588,0.164706
-4.12e-07,-0.0156863,0.196078
-4.08e-07,-0.0156863,0.164706
-4.04e-07,-0.0470588,0.164706
-4e-07,-0.0156863,0.164706
-3.96e-07,-0.0156863,0.164706
-3.92e-07,-0.0470588,0.133333
-3.88e-07,-0.0470588,0.164706
-3.84e-07,-0.0470588,0.133333
-3.8e-07,-0.0470588,0.133333
-3.76e-07,-0.0470588,0.164706
-3.72e-07,-0.0156863,0.133333
-3.68e-07,-0.0470588,0.133333
-3.64e-07,-0.0470588,0.164706
-3.6e-07,-0.0470588,0.164706
-3.56e-07,-0.0470588,0.164706
-3.52e-07,-0.0470588,0.164706
-3.48e-07,-0.0784314,0.196078
-3.44e-07,-0.0470588,0.164706
-3.4e-07,-0.0470588,0.196078
-3.36e-07,-0.0784314,0.164706
-3.32e-07,-0.0470588,0.196078
-3.28e-07,-0.0156863,0.164706
-3.24e-07,-0.0470588,0.164706
-3.2e-07,-0.0470588,0.164706
-3.16e-07,-0.0470588,0.164706
-3.12e-07,-0.0470588,0.196078
-3.08e-07,-0.0156863,0.164706
-3.04e-07,-0.0156863,0.164706
-3e-07,-0.0470588,0.164706
-2.96e-07,-0.0470588,0.164706
-2.92e-07,-0.0470588,0.164706
-2.88e-07,-0.0156863,0.164706
-2.84e-07,-0.0156863,0.164706
-2.8e-07,-0.0470588,0.164706
-2.76e-07,-0.0156863,0.164706
-2.72e-07,-0.0470588,0.164706
-2.68e-07,-0.0470588,0.164706
-2.64e-07,-0.0470588,0.133333
-2.6e-07,-0.0470588,0.133333
-2.56e-07,-0.0470588,0.133333
-2.52e-07,-0.0470588,0.164706
-2.48e-07,-0.0470588,0.164706
-2.44e-07,-0.0470588,0.164706
-2.4e-07,-0.0470588,0.164706
-2.36e-07,-0.0470588,0.164706
-2.32e-07,-0.0470588,0.164706
-2.28e-07,-0.0470588,0.164706
-2.24e-07,-0.0156863,0.164706
-2.2e-07,-0.0470588,0.164706
-2.16e-07,-0.0156863,0.133333
-2.12e-07,-0.0156863,0.133333
-2.08e-07,-0.0470588,0.164706
-2.04e-07,-0.0470588,0.164706
-2e-07,-0.0156863,0.196078
-1.96e-07,-0.0156863,0.164706
-1.92e-07,-0.0470588,0.164706
-1.88e-07,-0.0470588,0.196078
-1.84e-07,-0.0470588,0.164706
-1.8e-07,-0.0470588,0.164706
-1.76e-07,-0.0156863,0.196078
-1.72e-07,-0.0156863,0.164706
-1.68e-07,-0.0156863,0.164706
-1.64e-07,-0.0470588,0.164706
-1.6e-07,-0.0156863,0.196078
-1.56e-07,0.0156863,0.133333
-1.52e-07,-0.0156863,0.133333
-1.48e-07,-0.0470588,0.133333
-1.44e-07,-0.0470588,0.133333
-1.4e-07,-0.0470588,0.133333
-1.36e-07,-0.0470588,0.133333
-1.32e-07,-0.0470588,0.133333
-1.28e-07,-0.0470588,0.133333
-1.24e-07,-0.0470588,0.133333
-1.2e-07,-0.0470588,0.133333
-1.16e-07,-0.0470588,0.133333
-1.12e-07,-0.0470588,0.133333
-1.08e-07,-0.0156863,0.164706
-1.04e-07,-0.0470588,0.164706
-1e-07,-0.0470588,0.164706
-9.6e-08,-0.0470588,0.164706
-9.2e-08,-0.0470588,0.164706
-8.8e-08,-0.0156863,0.164706
-8.4e-08,-0.0470588,0.196078
-8e-08,-0.0156863,0.164706
-7.6e-08,-0.0470588,0.164706
-7.2e-08,-0.0156863,0.196078
-6.8e-08,-0.0156863,0.164706
-6.4e-08,-0.0470588,0.133333
-6e-08,-0.0470588,0.133333
-5.6e-08,-0.0784314,0.133333
-5.2e-08,-0.0470588,0.164706
-4.8e-08,-0.0156863,0.196078
-4.4e-08,-0.0470588,0.164706
-4e-08,-0.0156863,0.164706
-3.6e-08,-0.0156863,0.133333
-3.2e-08,-0.0156863,0.164706
-2.8e-08,-0.0156863,0.164706
-2.4e-08,-0.0784314,0.164706
-2e-08,-0.0470588,0.164706
-1.6e-08,-0.0784314,0.164706
-1.2e-08,-0.0784314,0.196078
-8e-09,-0.0156863,0.164706
-4e-09,-0.141176,0.760784
0,-0.203922,2.70588
4e-09,-0.141176,4.08627
8e-09,-0.0156863,4.4
1.2e-08,0.141176,3.86667
1.6e-08,0.203922,3.17647
2e-08,-0.0156863,3.20784
2.4e-08,-0.172549,3.4902
2.8e-08,-0.141176,3.64706
3.2e-08,-0.0156863,3.67843
3.6e-08,0.0470588,3.58431
4e-08,0.0470588,3.52157
4.4e-08,-0.0156863,3.39608
4.8e-08,0.0156863,1.92157
5.2e-08,-0.0156863,-0.0235294
5.6e-08,-0.0470588,-0.807843
6e-08,-0.172549,-0.619608
6.4e-08,-0.235294,0.290196
6.8e-08,-0.141176,0.603922
7.2e-08,0.109804,0.352941
7.6e-08,0.109804,0.0705882
8e-08,-0.0470588,-0.054902
8.4e-08,-0.141176,0.00784314
8.8e-08,-0.203922,0.133333
9.2e-08,-0.0784314,0.196078
9.6e-08,-0.0470588,0.823529
1e-07,-0.0784314,2.83137
1.04e-07,-0.0470588,4.24314
1.08e-07,0.0156863,4.52549
1.12e-07,0.0784314,3.89804
1.16e-07,0.109804,3.1451
1.2e-07,-0.0784314,3.20784
1.24e-07,-0.203922,3.52157
1.28e-07,-0.109804,3.7098
1.32e-07,0.0156863,3.67843
1.36e-07,0.0784314,3.61569
1.4e-07,0.0470588,3.52157
1.44e-07,-0.0784314,3.36471
1.48e-07,-0.0156863,1.8902
1.52e-07,-0.0156863,0.00784314
1.56e-07,-0.0784314,-0.776471
1.6e-07,-0.172549,-0.556863
1.64e-07,-0.235294,0.321569
1.68e-07,-0.141176,0.635294
1.72e-07,0.109804,0.352941
1.76e-07,0.0470588,0.101961
1.8e-07,-0.0784314,-0.054902
1.84e-07,-0.141176,0.00784314
1.88e-07,-0.172549,0.133333
1.92e-07,-0.0784314,0.196078
1.96e-07,-0.0156863,0.823529
2e-07,-0.0784314,2.8
2.04e-07,-0.0156863,4.18039
2.08e-07,-0.0156863,4.43137
2.12e-07,0.0784314,3.80392
2.16e-07,0.141176,3.08235
2.2e-07,-0.0784314,3.1451
2.24e-07,-0.172549,3.52157
2.28e-07,-0.109804,3.67843
2.32e-07,-0.0156863,3.67843
2.36e-07,0.0470588,3.58431
