Model,RTH1004
SerialNumber,104117
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2023-04-12 16:08:14.092865387,2023-04-12 16:08:14.092865387
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,5e-07,
Horizontal Position,2e-06,
Reference Point,50 %,
Sample Interval,4e-09,
Record Length,1250,
Probe Setting,'10:1','10:1'
Vertical Unit,V,V
Vertical Scale,2,2
Vertical Position,-3,1
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH3
-5e-07,-0.0862745,0.101961
-4.96e-07,-0.054902,0.101961
-4.92e-07,-0.054902,0.133333
-4.88e-07,-0.0862745,0.133333
-4.84e-07,-0.054902,0.133333
-4.8e-07,-0.054902,0.101961
-4.76e-07,-0.054902,0.101961
-4.72e-07,-0.054902,0.133333
-4.68e-07,-0.054902,0.133333
-4.64e-07,-0.054902,0.133333
-4.6e-07,-0.0862745,0.101961
-4.56e-07,-0.054902,0.101961
-4.52e-07,-0.054902,0.133333
-4.48e-07,-0.0862745,0.101961
-4.44e-07,-0.054902,0.101961
-4.4e-07,-0.054902,0.101961
-4.36e-07,-0.0862745,0.0705882
-4.32e-07,-0.0862745,0.101961
-4.28e-07,-0.054902,0.133333
-4.24e-07,-0.054902,0.133333
-4.2e-07,-0.054902,0.101961
-4.16e-07,-0.054902,0.133333
-4.12e-07,-0.0235294,0.133333
-4.08e-07,-0.0862745,0.133333
-4.04e-07,-0.0862745,0.101961
-4e-07,-0.054902,0.101961
-3.96e-07,-0.054902,0.101961
-3.92e-07,-0.0235294,0.133333
-3.88e-07,-0.054902,0.133333
-3.84e-07,-0.054902,0.133333
-3.8e-07,-0.054902,0.101961
-3.76e-07,-0.0862745,0.133333
-3.72e-07,-0.054902,0.133333
-3.68e-07,-0.054902,0.101961
-3.64e-07,-0.054902,0.133333
-3.6e-07,-0.054902,0.133333
-3.56e-07,-0.054902,0.101961
-3.52e-07,-0.054902,0.101961
-3.48e-07,-0.054902,0.101961
-3.44e-07,-0.054902,0.133333
-3.4e-07,-0.054902,0.101961
-3.36e-07,-0.054902,0.0705882
-3.32e-07,-0.054902,0.101961
-3.28e-07,-0.054902,0.101961
-3.24e-07,-0.054902,0.133333
-3.2e-07,-0.0862745,0.133333
-3.16e-07,-0.054902,0.133333
-3.12e-07,-0.054902,0.133333
-3.08e-07,-0.117647,0.101961
-3.04e-07,-0.0862745,0.133333
-3e-07,-0.054902,0.133333
-2.96e-07,-0.0862745,0.101961
-2.92e-07,-0.054902,0.133333
-2.88e-07,-0.0235294,0.101961
-2.84e-07,-0.054902,0.101961
-2.8e-07,-0.054902,0.101961
-2.76e-07,-0.054902,0.101961
-2.72e-07,-0.054902,0.101961
-2.68e-07,-0.0235294,0.101961
-2.64e-07,-0.054902,0.101961
-2.6e-07,-0.0862745,0.133333
-2.56e-07,-0.0862745,0.133333
-2.52e-07,-0.0862745,0.133333
-2.48e-07,-0.0862745,0.133333
-2.44e-07,-0.0862745,0.133333
-2.4e-07,-0.054902,0.133333
-2.36e-07,-0.054902,0.101961
-2.32e-07,-0.054902,0.101961
-2.28e-07,-0.0862745,0.101961
-2.24e-07,-0.054902,0.101961
-2.2e-07,-0.0862745,0.133333
-2.16e-07,-0.0862745,0.133333
-2.12e-07,-0.0862745,0.101961
-2.08e-07,-0.054902,0.133333
-2.04e-07,-0.054902,0.101961
-2e-07,-0.054902,0.133333
-1.96e-07,-0.054902,0.133333
-1.92e-07,-0.0862745,0.101961
-1.88e-07,-0.0862745,0.101961
-1.84e-07,-0.054902,0.133333
-1.8e-07,-0.054902,0.101961
-1.76e-07,-0.054902,0.133333
-1.72e-07,-0.0235294,0.164706
-1.68e-07,-0.054902,0.133333
-1.64e-07,-0.054902,0.133333
-1.6e-07,-0.054902,0.101961
-1.56e-07,-0.0862745,0.101961
-1.52e-07,-0.054902,0.133333
-1.48e-07,-0.054902,0.101961
-1.44e-07,-0.054902,0.133333
-1.4e-07,-0.054902,0.133333
-1.36e-07,-0.0862745,0.101961
-1.32e-07,-0.0862745,0.133333
-1.28e-07,-0.0862745,0.164706
-1.24e-07,-0.054902,0.133333
-1.2e-07,-0.054902,0.164706
-1.16e-07,-0.054902,0.133333
-1.12e-07,-0.054902,0.133333
-1.08e-07,-0.0862745,0.101961
-1.04e-07,-0.054902,0.0705882
-1e-07,-0.054902,0.101961
-9.6e-08,-0.054902,0.101961
-9.2e-08,-0.054902,0.133333
-8.8e-08,-0.054902,0.133333
-8.4e-08,-0.054902,0.133333
-8e-08,-0.0235294,0.133333
-7.6e-08,-0.054902,0.101961
-7.2e-08,-0.054902,0.101961
-6.8e-08,-0.0235294,0.133333
-6.4e-08,-0.0235294,0.133333
-6e-08,-0.054902,0.133333
-5.6e-08,-0.054902,0.133333
-5.2e-08,-0.054902,0.133333
-4.8e-08,-0.0235294,0.133333
-4.4e-08,-0.0235294,0.101961
-4e-08,-0.054902,0.101961
-3.6e-08,-0.054902,0.133333
-3.2e-08,-0.054902,0.101961
-2.8e-08,-0.054902,0.133333
-2.4e-08,-0.054902,0.133333
-2e-08,-0.054902,0.133333
-1.6e-08,-0.054902,0.133333
-1.2e-08,-0.054902,0.133333
-8e-09,-0.0235294,0.133333
-4e-09,-0.054902,0.352941
0,-0.243137,1.95294
4e-09,-0.27451,3.64706
8e-09,-0.0235294,4.18039
1.2e-08,0.164706,4.24314
1.6e-08,0.196078,3.52157
2e-08,0.101961,2.98824
2.4e-08,-0.14902,3.23922
2.8e-08,-0.305882,3.61569
3.2e-08,-0.117647,3.67843
3.6e-08,0.101961,3.55294
4e-08,0.0392157,3.52157
4.4e-08,-0.0862745,3.4902
4.8e-08,-0.0235294,2.64314
5.2e-08,0.101961,0.572549
5.6e-08,-0.054902,-0.556863
6e-08,-0.27451,-0.776471
6.4e-08,-0.243137,-0.337255
6.8e-08,-0.180392,0.509804
7.2e-08,-0.0862745,0.603922
7.6e-08,0.227451,0.101961
8e-08,0.133333,-0.117647
8.4e-08,-0.211765,-0.0862745
8.8e-08,-0.243137,0.0392157
9.2e-08,-0.0862745,0.101961
9.6e-08,0.00784314,0.352941
1e-07,-0.14902,2.01569
1.04e-07,-0.180392,3.77255
1.08e-07,0.0392157,4.4
1.12e-07,0.101961,4.30588
1.16e-07,0.0705882,3.42745
1.2e-07,0.00784314,2.89412
1.24e-07,-0.211765,3.20784
1.28e-07,-0.305882,3.67843
1.32e-07,-0.054902,3.74118
1.36e-07,0.164706,3.61569
1.4e-07,0.101961,3.55294
1.44e-07,-0.054902,3.45882
1.48e-07,-0.054902,2.54902
1.52e-07,0.133333,0.509804
1.56e-07,-0.0235294,-0.619608
1.6e-07,-0.243137,-0.807843
1.64e-07,-0.243137,-0.337255
1.68e-07,-0.211765,0.572549
1.72e-07,-0.0862745,0.666667
1.76e-07,0.164706,0.164706
1.8e-07,0.0705882,-0.14902
1.84e-07,-0.243137,-0.054902
1.88e-07,-0.27451,0.0705882
1.92e-07,-0.117647,0.101961
1.96e-07,0.00784314,0.352941
2e-07,-0.117647,1.98431
2.04e-07,-0.14902,3.7098
2.08e-07,0.0705882,4.33725
2.12e-07,0.164706,4.27451
2.16e-07,0.101961,3.42745
2.2e-07,0.0705882,2.89412
2.24e-07,-0.180392,3.17647
2.28e-07,-0.305882,3.67843
2.32e-07,-0.054902,3.77255
2.36e-07,0.164706,3.58431
2.4e-07,0.101961,3.55294
2.44e-07,-0.14902,3.45882
2.48e-07,-0.117647,2.61176
2.52e-07,0.101961,0.541176
2.56e-07,-0.054902,-0.588235
2.6e-07,-0.211765,-0.745098
